subject_id,session_id,treatment,cap_value,cap_type,offered_price,price_index,prob_not_last,steps_of_reasoning,action,risk_aversion_score
SYN_S014,SYN_M00001,K1,1,capped,1,0,1.0,2,buy,0.5
SYN_S032,SYN_M00001,K1,1,capped,10,1,1.0,1,buy,0.5
SYN_S009,SYN_M00001,K1,1,capped,100,2,0.0,0,no_buy,0.5
SYN_S036,SYN_M00002,K1,1,capped,1,0,1.0,2,buy,0.5
SYN_S025,SYN_M00002,K1,1,capped,10,1,1.0,1,buy,0.5
SYN_S035,SYN_M00002,K1,1,capped,100,2,0.0,0,no_buy,0.5
SYN_S015,SYN_M00003,K1,1,capped,1,0,1.0,2,buy,0.5
SYN_S016,SYN_M00003,K1,1,capped,10,1,1.0,1,no_buy,0.5
SYN_S013,SYN_M00004,K1,1,capped,1,0,1.0,2,buy,0.5
SYN_S007,SYN_M00004,K1,1,capped,10,1,1.0,1,no_buy,0.5
SYN_S047,SYN_M00005,K1,1,capped,1,0,1.0,2,buy,0.5
SYN_S005,SYN_M00005,K1,1,capped,10,1,1.0,1,buy,0.5
SYN_S006,SYN_M00005,K1,1,capped,100,2,0.0,0,buy,0.5
SYN_S011,SYN_M00006,K1,1,capped,1,0,1.0,2,buy,0.5
SYN_S043,SYN_M00006,K1,1,capped,10,1,1.0,1,no_buy,0.5
SYN_S037,SYN_M00007,K1,1,capped,1,0,1.0,2,buy,0.5
SYN_S046,SYN_M00007,K1,1,capped,10,1,1.0,1,no_buy,0.5
SYN_S041,SYN_M00008,K1,1,capped,1,0,1.0,2,no_buy,0.5
SYN_S020,SYN_M00009,K1,1,capped,1,0,1.0,2,buy,0.5
SYN_S002,SYN_M00009,K1,1,capped,10,1,1.0,1,no_buy,0.5
SYN_S040,SYN_M00010,K1,1,capped,1,0,1.0,2,buy,0.5
SYN_S004,SYN_M00010,K1,1,capped,10,1,1.0,1,no_buy,0.5
SYN_S019,SYN_M00011,K1,1,capped,1,0,1.0,2,buy,0.5
SYN_S023,SYN_M00011,K1,1,capped,10,1,1.0,1,buy,0.5
