Session,Cap,Period,Subject,Group,Profit,TotalProfit,Position,BuyPrice,BuyDecision,Step,Confidence,BeliefResale,Rationale,ReasoningTokens,rationale_short
20260430T165050Z_lab_cap1_s0,1,1,conv_69f3886c6a8081938f70dbd9f795136d0e4f7fdda94120e1,71050,1,1,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,1,conv_69f3886d8dc88193b2acc42e6f71e7000b9be23e693d8071,71050,1,1,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,1,conv_69f3886dc8a88190aa841f509cd590a407e7684bbf9bd059,71050,1,1,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,1,conv_69f3886d18e081978341ed317ffb83ad0001bfe1c1a264ac,93349,1,1,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,1,conv_69f3886e00fc8196949d5c0a0b2bad7c02e8a3b9a0703d86,93349,1,1,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,1,conv_69f3886c28d48197b72e8b2e91106cf0082ebd5a7d338c92,93349,1,1,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,1,conv_69f3886d57bc8190ad0e02516a5aba4801a7cc29a3225360,56316,1,1,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,1,conv_69f3886b57688194971c4e984c8c0fb9076461c93784d68f,56316,1,1,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,1,conv_69f3886bea188196a1314aa29ec5a5a10756202289bc8ea2,56316,1,1,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,2,conv_69f3886c6a8081938f70dbd9f795136d0e4f7fdda94120e1,27269,1,2,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,2,conv_69f3886d57bc8190ad0e02516a5aba4801a7cc29a3225360,27269,1,2,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,2,conv_69f3886c28d48197b72e8b2e91106cf0082ebd5a7d338c92,27269,1,2,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,2,conv_69f3886d18e081978341ed317ffb83ad0001bfe1c1a264ac,2782,1,2,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,2,conv_69f3886bea188196a1314aa29ec5a5a10756202289bc8ea2,2782,1,2,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,2,conv_69f3886e00fc8196949d5c0a0b2bad7c02e8a3b9a0703d86,2782,1,2,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,2,conv_69f3886dc8a88190aa841f509cd590a407e7684bbf9bd059,85416,1,2,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,2,conv_69f3886b57688194971c4e984c8c0fb9076461c93784d68f,85416,1,2,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,2,conv_69f3886d8dc88193b2acc42e6f71e7000b9be23e693d8071,85416,1,2,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,3,conv_69f3886d57bc8190ad0e02516a5aba4801a7cc29a3225360,73748,1,3,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,3,conv_69f3886bea188196a1314aa29ec5a5a10756202289bc8ea2,73748,1,3,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,3,conv_69f3886e00fc8196949d5c0a0b2bad7c02e8a3b9a0703d86,73748,1,3,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,3,conv_69f3886b57688194971c4e984c8c0fb9076461c93784d68f,55324,1,3,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,3,conv_69f3886c28d48197b72e8b2e91106cf0082ebd5a7d338c92,55324,1,3,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,3,conv_69f3886d18e081978341ed317ffb83ad0001bfe1c1a264ac,55324,1,3,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,3,conv_69f3886dc8a88190aa841f509cd590a407e7684bbf9bd059,50993,1,3,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,3,conv_69f3886c6a8081938f70dbd9f795136d0e4f7fdda94120e1,50993,1,3,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,3,conv_69f3886d8dc88193b2acc42e6f71e7000b9be23e693d8071,50993,1,3,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,4,conv_69f3886d18e081978341ed317ffb83ad0001bfe1c1a264ac,23445,1,4,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,4,conv_69f3886e00fc8196949d5c0a0b2bad7c02e8a3b9a0703d86,23445,1,4,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,4,conv_69f3886dc8a88190aa841f509cd590a407e7684bbf9bd059,23445,1,4,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,4,conv_69f3886c28d48197b72e8b2e91106cf0082ebd5a7d338c92,61312,1,4,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,4,conv_69f3886d8dc88193b2acc42e6f71e7000b9be23e693d8071,61312,1,4,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,4,conv_69f3886c6a8081938f70dbd9f795136d0e4f7fdda94120e1,61312,1,4,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,4,conv_69f3886b57688194971c4e984c8c0fb9076461c93784d68f,64303,1,4,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,4,conv_69f3886bea188196a1314aa29ec5a5a10756202289bc8ea2,64303,1,4,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,4,conv_69f3886d57bc8190ad0e02516a5aba4801a7cc29a3225360,64303,1,4,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,5,conv_69f3886dc8a88190aa841f509cd590a407e7684bbf9bd059,29557,1,5,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,5,conv_69f3886b57688194971c4e984c8c0fb9076461c93784d68f,29557,1,5,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,5,conv_69f3886c6a8081938f70dbd9f795136d0e4f7fdda94120e1,29557,1,5,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,5,conv_69f3886d57bc8190ad0e02516a5aba4801a7cc29a3225360,93898,1,5,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,5,conv_69f3886e00fc8196949d5c0a0b2bad7c02e8a3b9a0703d86,93898,1,5,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,5,conv_69f3886c28d48197b72e8b2e91106cf0082ebd5a7d338c92,93898,1,5,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,5,conv_69f3886d18e081978341ed317ffb83ad0001bfe1c1a264ac,10335,1,5,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,5,conv_69f3886bea188196a1314aa29ec5a5a10756202289bc8ea2,10335,1,5,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,5,conv_69f3886d8dc88193b2acc42e6f71e7000b9be23e693d8071,10335,1,5,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,6,conv_69f3886e00fc8196949d5c0a0b2bad7c02e8a3b9a0703d86,11864,1,6,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,6,conv_69f3886c28d48197b72e8b2e91106cf0082ebd5a7d338c92,11864,1,6,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,6,conv_69f3886d57bc8190ad0e02516a5aba4801a7cc29a3225360,11864,1,6,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,6,conv_69f3886c6a8081938f70dbd9f795136d0e4f7fdda94120e1,12766,1,6,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,6,conv_69f3886b57688194971c4e984c8c0fb9076461c93784d68f,12766,1,6,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,6,conv_69f3886dc8a88190aa841f509cd590a407e7684bbf9bd059,12766,1,6,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,6,conv_69f3886d8dc88193b2acc42e6f71e7000b9be23e693d8071,43407,1,6,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,6,conv_69f3886bea188196a1314aa29ec5a5a10756202289bc8ea2,43407,1,6,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,6,conv_69f3886d18e081978341ed317ffb83ad0001bfe1c1a264ac,43407,1,6,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,7,conv_69f3886e00fc8196949d5c0a0b2bad7c02e8a3b9a0703d86,83570,1,7,1,1,0,2,,,,,
20260430T165050Z_lab_cap1_s0,1,7,conv_69f3886dc8a88190aa841f509cd590a407e7684bbf9bd059,83570,1,7,2,10,0,1,,,,,
20260430T165050Z_lab_cap1_s0,1,7,conv_69f3886c28d48197b72e8b2e91106cf0082ebd5a7d338c92,83570,1,7,3,100,0,0,,,,,
20260430T165050Z_lab_cap1_s0,1,7,conv_69f3886bea188196a1314aa29ec5a5a10756202289bc8ea2,11845,1,7,1,1,0,2,,,,,
